id,category,language,message,translation
1,backend,ja,Total Sales,総売上高
2,backend,ja,Total Merchant,総商人
3,backend,ja,Total Commission,総コミッション
4,backend,ja,Total Subscriptions,総サブスクリプション
5,backend,ja,Commission this week,今週のコミッション
6,backend,ja,Commission this month,今月のコミッション
7,backend,ja,Subscriptions this month,今月のサブスクリプション
8,backend,ja,Order received,ご注文承りました
9,backend,ja,Today delivered,本日配信
10,backend,ja,New customer,新規顧客
11,backend,ja,Total refund,全額返金
12,backend,ja,Last Orders,ラストオーダー
13,backend,ja,Quick management of the last {{limit}} orders,最後の{{limit}}注文の迅速な管理
14,backend,ja,Block Customer,顧客をブロックする
15,backend,ja,"You are about to block this customer from ordering to your restaurant, click confirm to continue?",この顧客があなたのレストランに注文するのをブロックしようとしています。続行するには[確認]をクリックしますか？
16,backend,ja,Cancel,キャンセル
17,backend,ja,Confirm,確認
18,backend,ja,Sold,販売済み
19,backend,ja,sales,売上高
20,backend,ja,Sales overview,販売概要
21,backend,ja,Top Customers,トップ顧客
22,backend,ja,Overview of Review,レビューの概要
23,backend,ja,Star,星
24,backend,ja,Checkout All Reviews,すべてのレビューをチェックアウト
25,backend,ja,Recent payout,最近の支払い
26,backend,ja,Withdrawals Details,引き出しの詳細
27,backend,ja,Close,選ぶ
28,backend,ja,Process this payout,この支払いを処理する
29,backend,ja,Cancel this payout,この支払いをキャンセルする
30,backend,ja,Set status to paid,ステータスを有料に設定
31,backend,ja,All,全て
32,backend,ja,Processing,処理
33,backend,ja,Ready,準備
34,backend,ja,Completed,完了
35,backend,ja,Popular items,人気商品
36,backend,ja,latest popular items,最新の人気アイテム
37,backend,ja,Last 30 days sales,過去30日間の売上
38,backend,ja,sales for last 30 days,過去30日間の売上
39,backend,ja,Popular merchants,人気の商人
40,backend,ja,best selling restaurant,ベストセラーレストラン
41,backend,ja,Popular by review,レビューで人気
42,backend,ja,most reviewed,最もレビューされた
45,backend,ja,The difference between the DateTimes is NaN.,DateTimesの違いはNaNです。
46,backend,ja,Moments ago,少し前
47,backend,ja,Seconds from now,今から数秒
48,backend,ja,Yesterday,昨日
49,backend,ja,Tomorrow,明日
50,backend,ja,year,年
51,backend,ja,minutes,分
52,backend,ja,ago,前に
53,backend,ja,hours,時間
54,backend,ja,days,日々
55,backend,ja,minute,分
56,backend,ja,hour,時間
57,backend,ja,day,日
58,backend,ja,Member since {{date_created}},{{date_created}}以降のメンバー
59,backend,ja,{{total_sold}} orders,{{total_sold}}注文
60,backend,ja,{{total_sold}} sold,{{total_sold}}が販売されました
61,backend,ja,This month you got {{count}} New Reviews,今月は{{count}}の新しいレビューがあります
62,backend,ja,You don't have current orders.,現在の注文はありません。
63,backend,ja,Order #{{order_id}},注文番号{{order_id}}
64,backend,ja,{{sold}} sold,{{sold}}販売済み
65,backend,ja,ratings,評価
66,backend,ja,Title,タイトル
67,backend,ja,Select File,ファイルを選ぶ
68,backend,ja,Upload New,新規アップロード
69,backend,ja,Website logo,ウェブサイトのロゴ
70,backend,ja,Add Files,追加ファイル
71,backend,ja,Previous,前
72,backend,ja,Next,次
73,backend,ja,Search,検索
74,backend,ja,Business Address,職場の住所
75,backend,ja,Address,住所
76,backend,ja,Contact Phone Number,連絡先の電話番号
77,backend,ja,Contact email,連絡先メールアドレス
78,backend,ja,Save,保存
79,backend,ja,Site information,サイト情報
80,backend,ja,Map API Keys,APIキーをマップします
81,backend,ja,Google Recaptcha,グーグル要約
82,backend,ja,Search Mode,検索モード
83,backend,ja,Login & Signup,ログインサインアップ
84,backend,ja,Phone Settings,電話設定
85,backend,ja,Social Login,ソーシャルログイン
86,backend,ja,Printing Settings,印刷設定
87,backend,ja,Reviews,レビュー
88,backend,ja,Timezone,タイムゾーン
89,backend,ja,Ordering,注文
90,backend,ja,Merchant Registration,マーチャント登録
91,backend,ja,Notifications,通知
92,backend,ja,Contact Settings,連絡先の設定
93,backend,ja,Analytics,アナリティクス
94,backend,ja,Choose Map Provider,マッププロバイダーを選択
95,backend,ja,Google Maps,グーグルマップ
96,backend,ja,Mapbox,Mapbox
97,backend,ja,Google Maps (default),Googleマップ（デフォルト）
98,backend,ja,Geocoding API Key,ジオコーディングAPIキー
99,backend,ja,Google Maps JavaScript API,Google Maps JavaScript API
100,backend,ja,Mapbox Access Token,Mapboxアクセストークン
101,backend,ja,Site configuration,サイト構成
102,backend,ja,reCAPTCHA v2,reCAPTCHA v2
103,backend,ja,Captcha Site Key,キャプチャサイトキー
104,backend,ja,Captcha Secret,キャプチャシークレット
105,backend,ja,Captcha Lang,キャプチャラング
106,backend,ja,default is = en,デフォルトは= en
107,backend,ja,Administration login,管理ログイン
108,backend,ja,Enabled,有効
109,backend,ja,Merchant login,マーチャントログイン
111,backend,ja,Address using map provider,マッププロバイダーを使用した住所
112,backend,ja,Zone,ゾーン
113,backend,ja,Location using define address,住所定義を使用した場所
114,backend,ja,Settings for Address,アドレスの設定
115,backend,ja,Enabled choose address from map,マップから住所を選択できる
116,backend,ja,Set Specific Country,特定の国を設定する
117,backend,ja,leave empty to show all country,すべての国を表示するには空のままにします
118,backend,ja,Settings for define locations,場所を定義するための設定
119,backend,ja,City / Area,市/地域
120,backend,ja,State / City,州/市
121,backend,ja,PostalCode/ZipCode,郵便番号/郵便番号
122,backend,ja,All Country,すべての国
123,backend,ja,No results.,結果がありません。
124,backend,ja,Key,鍵
125,backend,ja,Value,価値
126,backend,ja,Search key,検索キー
127,backend,ja,Add Key,キーを追加
128,backend,ja,First,初め
129,backend,ja,Last,最後
130,backend,ja,Signup Type,サインアップタイプ
131,backend,ja,Standard signup,標準サインアップ
132,backend,ja,Mobile phone signup,携帯電話の申し込み
133,backend,ja,Signup Verifications,サインアップの検証
134,backend,ja,This settings only works in standard signup,この設定は、標準のサインアップでのみ機能します
135,backend,ja,Resend code interval,コード間隔を再送する
136,backend,ja,Google reCapcha,Google reCapcha
137,backend,ja,Terms and condition,利用規約
138,backend,ja,Welcome Template,ウェルカムテンプレート
139,backend,ja,New Signup Template,新しいサインアップテンプレート
140,backend,ja,this template will send to admin user,このテンプレートは管理者ユーザーに送信されます
141,backend,ja,Verification Template,検証テンプレート
142,backend,ja,Reset Password Template,パスワードテンプレートをリセット
143,backend,ja,Block user from registering,ユーザーの登録をブロックする
144,backend,ja,Multiple email separated by comma,カンマで区切られた複数の電子メール
145,backend,ja,Multiple mobile separated by comma,カンマで区切られた複数のモバイル
146,backend,ja,Phone country list,電話国リスト
147,backend,ja,"define the country selection for mobile phone, empty means will show all.",携帯電話の国の選択を定義します。空の場合はすべてが表示されます。
148,backend,ja,Default country,デフォルトの国
149,backend,ja,default mobile country,デフォルトのモバイル国
150,backend,ja,Facebook,フェイスブック
151,backend,ja,Enabled Facebook Login,Facebookログインを有効にする
152,backend,ja,App ID,アプリID
153,backend,ja,App Secret,アプリの秘密
154,backend,ja,Enabled Google Login,Googleログインを有効にする
155,backend,ja,Client ID,クライアントID
156,backend,ja,Client Secret,クライアントシークレット
157,backend,ja,Google,グーグル
158,backend,ja,Receipt Thank you text,領収書ありがとうテキスト
159,backend,ja,Receipt Footer text,領収書フッターのテキスト
160,backend,ja,Receipt Logo,領収書のロゴ
161,backend,ja,Item translations,アイテムの翻訳
162,backend,ja,Merchant can edit/delete review,販売者はレビューを編集/削除できます
163,backend,ja,Resize image width,画像幅のサイズを変更する
164,backend,ja,"upload review image will resize to set width, if below set width no resizing will happen.",アップロードレビュー画像は設定された幅にサイズ変更されます。設定された幅を下回ると、サイズ変更は行われません。
165,backend,ja,Template review,テンプレートレビュー
166,backend,ja,Send email reminder to customer to review there order.,注文を確認するために顧客に電子メールリマインダーを送信します。
167,backend,ja,Time Zone,タイムゾーン
168,backend,ja,Date Format,日付形式
169,backend,ja,Time Format,時間形式
170,backend,ja,Time interval,時間間隔
171,backend,ja,Enabled Ordering,有効な注文
172,backend,ja,Cannot do order again if previous order status is,以前の注文ステータスが
173,backend,ja,Order Cancellation,注文のキャンセル
174,backend,ja,Enabled cancellation of order,注文のキャンセルを有効にする
175,backend,ja,Enabled Registration,有効な登録
176,backend,ja,Enabled CAPTCHA,CAPTCHAを有効にする
177,backend,ja,Membership Program,メンバーシッププログラム
178,backend,ja,Terms and conditions,規約と条件
179,backend,ja,Pre-configure food item size,食品のサイズを事前に設定する
180,backend,ja,Templates,テンプレート
181,backend,ja,"this will be added as default food item size to merchant during registration. value must be separated by comma eg. small,medium,large",これは、登録時にデフォルトの食品サイズとして販売者に追加されます。値はコンマで区切る必要があります。例：小中大
182,backend,ja,Confirm Account,アカウントの確認
183,backend,ja,Welcome email,ウェルカムメール
184,backend,ja,Plan Near Expiration,有効期限近くの計画
