id,category,language,message,translation
1,backend,pt_br,Total Sales,Vendas totais
2,backend,pt_br,Total Merchant,Comerciante total
3,backend,pt_br,Total Commission,Comissão total
4,backend,pt_br,Total Subscriptions,Total de assinaturas
5,backend,pt_br,Commission this week,Comissão esta semana
6,backend,pt_br,Commission this month,Comissão este mês
7,backend,pt_br,Subscriptions this month,Assinaturas este mês
8,backend,pt_br,Order received,Pedido Recebido
9,backend,pt_br,Today delivered,Hoje entregue
10,backend,pt_br,New customer,Novo cliente
11,backend,pt_br,Total refund,Reembolso total
12,backend,pt_br,Last Orders,Últimos pedidos
13,backend,pt_br,Quick management of the last {{limit}} orders,Gerenciamento rápido dos últimos {{limit}} pedidos
14,backend,pt_br,Block Customer,Bloquear cliente
15,backend,pt_br,"You are about to block this customer from ordering to your restaurant, click confirm to continue?","Você está prestes a impedir que este cliente faça pedidos em seu restaurante, clique em confirmar para continuar?"
16,backend,pt_br,Cancel,Cancelar
17,backend,pt_br,Confirm,confirme
18,backend,pt_br,Sold,Vendido
19,backend,pt_br,sales,vendas
20,backend,pt_br,Sales overview,Visão geral de vendas
21,backend,pt_br,Top Customers,Principais clientes
22,backend,pt_br,Overview of Review,Visão geral da revisão
23,backend,pt_br,Star,Estrela
24,backend,pt_br,Checkout All Reviews,Confira todas as avaliações
25,backend,pt_br,Recent payout,Pagamento recente
26,backend,pt_br,Withdrawals Details,Detalhes de saques
27,backend,pt_br,Close,Fechar
28,backend,pt_br,Process this payout,Processar este pagamento
29,backend,pt_br,Cancel this payout,Cancelar este pagamento
30,backend,pt_br,Set status to paid,Definir status como pago
31,backend,pt_br,All,Todo
32,backend,pt_br,Processing,Em processamento
33,backend,pt_br,Ready,Preparar
34,backend,pt_br,Completed,Concluído
35,backend,pt_br,Popular items,Itens populares
36,backend,pt_br,latest popular items,últimos itens populares
37,backend,pt_br,Last 30 days sales,Últimos 30 dias de vendas
38,backend,pt_br,sales for last 30 days,vendas nos últimos 30 dias
39,backend,pt_br,Popular merchants,Comerciantes populares
40,backend,pt_br,best selling restaurant,restaurante mais vendido
41,backend,pt_br,Popular by review,Popular por comentário
42,backend,pt_br,most reviewed,mais revisado
45,backend,pt_br,The difference between the DateTimes is NaN.,A diferença entre os DateTimes é NaN.
46,backend,pt_br,Moments ago,Momentos atrás
47,backend,pt_br,Seconds from now,Segundos a partir de agora
48,backend,pt_br,Yesterday,Ontem
49,backend,pt_br,Tomorrow,Amanhã
50,backend,pt_br,year,ano
51,backend,pt_br,minutes,minutos
52,backend,pt_br,ago,atrás
53,backend,pt_br,hours,horas
54,backend,pt_br,days,dias
55,backend,pt_br,minute,minuto
56,backend,pt_br,hour,hora
57,backend,pt_br,day,dia
58,backend,pt_br,Member since {{date_created}},Membro desde {{date_created}}
59,backend,pt_br,{{total_sold}} orders,{{total_sold}} pedidos
60,backend,pt_br,{{total_sold}} sold,{{total_sold}} vendido
61,backend,pt_br,This month you got {{count}} New Reviews,Este mês você recebeu {{count}} novas avaliações
62,backend,pt_br,You don't have current orders.,Você não tem pedidos atuais.
63,backend,pt_br,Order #{{order_id}},Pedido #{{order_id}}
64,backend,pt_br,{{sold}} sold,{{sold}} vendido
65,backend,pt_br,ratings,avaliações
66,backend,pt_br,Title,Título
67,backend,pt_br,Select File,Selecione o arquivo
68,backend,pt_br,Upload New,Carregar novo
69,backend,pt_br,Website logo,Logo do site
70,backend,pt_br,Add Files,Adicionar arquivos
71,backend,pt_br,Previous,Anterior
72,backend,pt_br,Next,Próximo
73,backend,pt_br,Search,Procurar
74,backend,pt_br,Business Address,Endereço profissional
75,backend,pt_br,Address,Endereço
76,backend,pt_br,Contact Phone Number,Telefone de contato
77,backend,pt_br,Contact email,Email de contato
78,backend,pt_br,Save,Salvar
79,backend,pt_br,Site information,Informação do Site
80,backend,pt_br,Map API Keys,Chaves de API do mapa
81,backend,pt_br,Google Recaptcha,Google Recaptcha
82,backend,pt_br,Search Mode,Modo de pesquisa
83,backend,pt_br,Login & Signup,Entrar Inscrever-se
84,backend,pt_br,Phone Settings,Configurações do telefone
85,backend,pt_br,Social Login,Login social
86,backend,pt_br,Printing Settings,Configurações de impressão
87,backend,pt_br,Reviews,Avaliações
88,backend,pt_br,Timezone,Fuso horário
89,backend,pt_br,Ordering,Encomenda
90,backend,pt_br,Merchant Registration,Registro do comerciante
91,backend,pt_br,Notifications,Notificações
92,backend,pt_br,Contact Settings,Configurações de contato
93,backend,pt_br,Analytics,Análise
94,backend,pt_br,Choose Map Provider,Escolha o provedor de mapas
95,backend,pt_br,Google Maps,Google Maps
96,backend,pt_br,Mapbox,Mapbox
97,backend,pt_br,Google Maps (default),Google Maps (padrão)
98,backend,pt_br,Geocoding API Key,Chave de API de geocodificação
99,backend,pt_br,Google Maps JavaScript API,API JavaScript do Google Maps
100,backend,pt_br,Mapbox Access Token,Token de acesso do Mapbox
101,backend,pt_br,Site configuration,Configuração do site
102,backend,pt_br,reCAPTCHA v2,reCAPTCHA v2
103,backend,pt_br,Captcha Site Key,Chave do Site Captcha
104,backend,pt_br,Captcha Secret,Captcha Secret
105,backend,pt_br,Captcha Lang,Captcha Lang
106,backend,pt_br,default is = en,o padrão é = pt
107,backend,pt_br,Administration login,Login de administração
108,backend,pt_br,Enabled,Habilitado
109,backend,pt_br,Merchant login,Login do comerciante
111,backend,pt_br,Address using map provider,Endereço usando o provedor de mapas
112,backend,pt_br,Zone,Zona
113,backend,pt_br,Location using define address,Localização usando definir endereço
114,backend,pt_br,Settings for Address,Configurações de endereço
115,backend,pt_br,Enabled choose address from map,Ativado escolha o endereço do mapa
116,backend,pt_br,Set Specific Country,Definir país específico
117,backend,pt_br,leave empty to show all country,deixe em branco para mostrar todo o país
118,backend,pt_br,Settings for define locations,Configurações para definir locais
119,backend,pt_br,City / Area,Área da cidade
120,backend,pt_br,State / City,Cidade-estado
121,backend,pt_br,PostalCode/ZipCode,Código Postal / CEP
122,backend,pt_br,All Country,Todo o país
123,backend,pt_br,No results.,Sem resultados.
124,backend,pt_br,Key,Chave
125,backend,pt_br,Value,Valor
126,backend,pt_br,Search key,Chave de pesquisa
127,backend,pt_br,Add Key,Adicionar chave
128,backend,pt_br,First,Primeiro
129,backend,pt_br,Last,Durar
130,backend,pt_br,Signup Type,Tipo de inscrição
131,backend,pt_br,Standard signup,Inscrição padrão
132,backend,pt_br,Mobile phone signup,Cadastro de celular
133,backend,pt_br,Signup Verifications,Verificações de inscrição
134,backend,pt_br,This settings only works in standard signup,Essas configurações só funcionam na inscrição padrão
135,backend,pt_br,Resend code interval,Reenviar intervalo de código
136,backend,pt_br,Google reCapcha,Google reCapcha
137,backend,pt_br,Terms and condition,Termos e Condições
138,backend,pt_br,Welcome Template,Modelo de boas-vindas
139,backend,pt_br,New Signup Template,Novo modelo de inscrição
140,backend,pt_br,this template will send to admin user,este modelo será enviado para o usuário administrador
141,backend,pt_br,Verification Template,Modelo de verificação
142,backend,pt_br,Reset Password Template,Redefinir modelo de senha
143,backend,pt_br,Block user from registering,Impedir que o usuário se cadastre
144,backend,pt_br,Multiple email separated by comma,Vários e-mails separados por vírgula
145,backend,pt_br,Multiple mobile separated by comma,Vários móveis separados por vírgula
146,backend,pt_br,Phone country list,Lista de países do telefone
147,backend,pt_br,"define the country selection for mobile phone, empty means will show all.","defina a seleção de país para celular, meios vazios mostrarão todos."
148,backend,pt_br,Default country,País padrão
149,backend,pt_br,default mobile country,país móvel padrão
150,backend,pt_br,Facebook,o Facebook
151,backend,pt_br,Enabled Facebook Login,Login do Facebook ativado
152,backend,pt_br,App ID,ID do aplicativo
153,backend,pt_br,App Secret,Segredo do aplicativo
154,backend,pt_br,Enabled Google Login,Login do Google ativado
155,backend,pt_br,Client ID,ID do Cliente
156,backend,pt_br,Client Secret,Segredo do cliente
157,backend,pt_br,Google,Google
158,backend,pt_br,Receipt Thank you text,Texto de agradecimento de recibo
159,backend,pt_br,Receipt Footer text,Texto do rodapé do recibo
160,backend,pt_br,Receipt Logo,Logotipo do recibo
161,backend,pt_br,Item translations,Traduções de itens
162,backend,pt_br,Merchant can edit/delete review,O comerciante pode editar/excluir a avaliação
163,backend,pt_br,Resize image width,Redimensionar largura da imagem
164,backend,pt_br,"upload review image will resize to set width, if below set width no resizing will happen.","o upload da imagem de revisão será redimensionado para a largura definida, se estiver abaixo da largura definida, nenhum redimensionamento ocorrerá."
165,backend,pt_br,Template review,Revisão do modelo
166,backend,pt_br,Send email reminder to customer to review there order.,Envie um lembrete por e-mail ao cliente para revisar o pedido.
